ID,Title,Description,Price,Sale Price,Image Link,Availability,Condition,Brand,Category,URL
perfume_1,Coco Chanel Perfume 100ml,Luxury Coco Chanel perfume direct from store - Premium gift,352 AED,252 AED,https://m5zoon.com/public/uploads/products/1722352332177124.webp,in stock,new,Chanel,Perfumes,https://emirates-gifts.arabsad.com/en/product/perfume_1
perfume_2,Gucci Flora Perfume,Luxury Gucci Flora perfume for women - Premium gift,352 AED,252 AED,https://m5zoon.com/public/uploads/products/1720344963790342.webp,in stock,new,Gucci,Perfumes,https://emirates-gifts.arabsad.com/en/product/perfume_2
perfume_3,Gucci Bloom Perfume,Luxury Gucci Bloom perfume - Premium gift,352 AED,252 AED,https://m5zoon.com/public/uploads/products/1720344971935939.webp,in stock,new,Gucci,Perfumes,https://emirates-gifts.arabsad.com/en/product/perfume_3
watch_1,Rolex Yacht Master Silver,Luxury Rolex Yacht Master silver watch - Premium gift,370 AED,320 AED,https://m5zoon.com/public/uploads/products/1689086291310824.webp,in stock,new,Rolex,Watches,https://emirates-gifts.arabsad.com/en/product/watch_1
watch_2,Rolex Classic 41mm 2022,Luxury Rolex Classic watch - Premium gift,375 AED,325 AED,https://m5zoon.com/public/uploads/products/1741223185271965.png,in stock,new,Rolex,Watches,https://emirates-gifts.arabsad.com/en/product/watch_2
