ID,Title,Description,Price,Sale Price,Image Link,Availability,Condition,Brand,Category,URL
perfume_1,عطر كوكو شانيل 100 مل,عطر كوكو شانيل مباشر المخزن - هدية فريدة,352 AED,252 AED,https://m5zoon.com/public/uploads/products/1722352332177124.webp,in stock,new,Chanel,عطور,https://emirates-gifts.arabsad.com/products/perfume_1
perfume_2,عطر جوتشي فلورا,عطر جوتشي فلورا للنساء - هدية فريدة,352 AED,252 AED,https://m5zoon.com/public/uploads/products/1720344963790342.webp,in stock,new,Gucci,عطور,https://emirates-gifts.arabsad.com/products/perfume_2
perfume_3,عطر جوتشي بلوم,عطر جوتشي بلوم - هدية فريدة,352 AED,252 AED,https://m5zoon.com/public/uploads/products/1720344971935939.webp,in stock,new,Gucci,عطور,https://emirates-gifts.arabsad.com/products/perfume_3
watch_1,ساعة رولكس يخت ماستر - فضي,ساعة رولكس يخت ماستر بالفضي - ساعة فاخرة,370 AED,320 AED,https://m5zoon.com/public/uploads/products/1689086291310824.webp,in stock,new,Rolex,ساعات,https://emirates-gifts.arabsad.com/products/watch_1
watch_2,ساعة Rolex كلاسيكية 41 ملم 2022,ساعة Rolex كلاسيكية - ساعة فاخرة,375 AED,325 AED,https://m5zoon.com/public/uploads/products/1741223185271965.png,in stock,new,Rolex,ساعات,https://emirates-gifts.arabsad.com/products/watch_2
