ID,Title,Description,Price,Sale_Price,Image,Availability,Brand,Category,URL
perfume_25,Emotion ( HAIR & BODY MIST),"Emotion ( HAIR & BODY MIST) - هدية فريدة من Emirates Gifts",390 AED,290 AED,https://m5zoon.com/public/uploads/products/1758995006710566.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_25
perfume_26,Glory,"Glory - هدية فريدة من Emirates Gifts",470 AED,370 AED,https://m5zoon.com/public/uploads/products/1758995050816081.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_26
perfume_27,ARIAF,"ARIAF - هدية فريدة من Emirates Gifts",381 AED,281 AED,https://m5zoon.com/public/uploads/products/1758995115569006.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_27
perfume_28,JORA (HAIR SERUM ),"JORA (HAIR SERUM ) - هدية فريدة من Emirates Gifts",385 AED,285 AED,https://m5zoon.com/public/uploads/products/1758995171280243.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_28
perfume_29,JORA ( HAIR & BODY MIST),"JORA ( HAIR & BODY MIST) - هدية فريدة من Emirates Gifts",390 AED,290 AED,https://m5zoon.com/public/uploads/products/1758995240771137.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_29
perfume_30,Oud Al-Brayeh,"Oud Al-Brayeh - هدية فريدة من Emirates Gifts",390 AED,290 AED,https://m5zoon.com/public/uploads/products/1758995285297398.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_30
perfume_31,SHAIKAH HIND,"SHAIKAH HIND - هدية فريدة من Emirates Gifts",390 AED,290 AED,https://m5zoon.com/public/uploads/products/1758995318698510.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_31
perfume_32,دخون راقيه,"دخون راقيه - هدية فريدة من Emirates Gifts",390 AED,290 AED,https://m5zoon.com/public/uploads/products/1758995634493034.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_32
perfume_33,دخون عبدالرشيد,"دخون عبدالرشيد - هدية فريدة من Emirates Gifts",390 AED,290 AED,https://m5zoon.com/public/uploads/products/1758995672598233.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_33
perfume_34,دخون بو خالد,"دخون بو خالد - هدية فريدة من Emirates Gifts",390 AED,290 AED,https://m5zoon.com/public/uploads/products/1758995694164281.webp,in stock,Perfumes,Perfumes,https://emirates-gifts.arabsad.com/products/perfume_34
