id	title	description	link	image_link	additional_image_link	availability	price	sale_price	brand	gtin	mpn	condition	google_product_category	product_type	shipping	shipping_weight	tax	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	adult	age_group	gender	color	material	pattern	size	size_type	size_system	item_group_id	promotion_id
EMIRATES-PERFUME-1	عطر كوكو شانيل 100 مل	عطر فاخر عطر كوكو شانيل 100 مل بجودة عالية وثبات طويل المفعول. يتميز بـ: تركيبة عطرية فريدة ومميزة، ثبات يدوم طوال اليوم، مناسب للاستخدام اليومي والمناسبات الخاصة. متوفر بسعر 252 درهم إماراتي مع شحن مجاني في الإمارات. جودة أصلية مضمونة وتوصيل سريع. اطلب الآن!	https://emirates-gifts.vercel.app/products/عطر-كوكو-شانيل-100-مل-1.html	https://m5zoon.com/public/uploads/products/1722352332177124.webp		in stock	352 AED	252 AED	Emirates Gifts	EG00000001	EMIRATES-PERFUME-1	new	Health & Beauty > Personal Care > Cosmetics > Fragrances	عطور فاخرة > عطور أصلية	AE:::0 AED	0.3 kg	AE::0	عطور	Emirates Gifts	UAE Only	Luxury Perfume	Original	no	adult	unisex		Glass		100ml	regular	EU	perfume-group-1	SAVE28
EMIRATES-PERFUME-2	عطر جوتشي فلورا	عطر فاخر عطر جوتشي فلورا بجودة عالية وثبات طويل المفعول. يتميز بـ: تركيبة عطرية فريدة ومميزة، ثبات يدوم طوال اليوم، مناسب للاستخدام اليومي والمناسبات الخاصة. متوفر بسعر 252 درهم إماراتي مع شحن مجاني في الإمارات. جودة أصلية مضمونة وتوصيل سريع. اطلب الآن!	https://emirates-gifts.vercel.app/products/عطر-جوتشي-فلورا-2.html	https://m5zoon.com/public/uploads/products/1720344963790342.webp		in stock	352 AED	252 AED	Emirates Gifts	EG00000002	EMIRATES-PERFUME-2	new	Health & Beauty > Personal Care > Cosmetics > Fragrances	عطور فاخرة > عطور أصلية	AE:::0 AED	0.3 kg	AE::0	عطور	Emirates Gifts	UAE Only	Luxury Perfume	Original	no	adult	unisex		Glass		100ml	regular	EU	perfume-group-2	SAVE28
EMIRATES-PERFUME-3	عطر جوتشي بلوم	عطر فاخر عطر جوتشي بلوم بجودة عالية وثبات طويل المفعول. يتميز بـ: تركيبة عطرية فريدة ومميزة، ثبات يدوم طوال اليوم، مناسب للاستخدام اليومي والمناسبات الخاصة. متوفر بسعر 252 درهم إماراتي مع شحن مجاني في الإمارات. جودة أصلية مضمونة وتوصيل سريع. اطلب الآن!	https://emirates-gifts.vercel.app/products/عطر-جوتشي-بلوم-3.html	https://m5zoon.com/public/uploads/products/1720344971935939.webp		in stock	352 AED	252 AED	Emirates Gifts	EG00000003	EMIRATES-PERFUME-3	new	Health & Beauty > Personal Care > Cosmetics > Fragrances	عطور فاخرة > عطور أصلية	AE:::0 AED	0.3 kg	AE::0	عطور	Emirates Gifts	UAE Only	Luxury Perfume	Original	no	adult	unisex		Glass		100ml	regular	EU	perfume-group-3	SAVE28
